district,city,landSize,buildingSize,bedrooms,bathrooms,floors,garages,electricity,furnishing,priceNumeric
Umbulharjo,Yogyakarta,500.0,600.0,12.0,10.0,2.0,2.0,3500 Watt,Unfurnished,6900000000
Depok,Sleman,83.0,78.0,1.0,1.0,1.0,1.0,3500 Watt,Furnished,770000000
Kalasan,Sleman,118.0,90.0,3.0,2.0,1.0,2.0,Lainnya,Unfurnished,750000000
Ngaglik,Sleman,145.0,100.0,4.0,2.0,1.0,2.0,Lainnya,Unfurnished,1270000000
Kalasan,Sleman,108.0,170.0,4.0,4.0,2.0,2.0,Lainnya,Unfurnished,1750000000
Ngaglik,Sleman,93.0,80.0,3.0,3.0,2.0,2.0,Lainnya,Unfurnished,1200000000
Ngaglik,Sleman,107.0,71.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,785000000
Ngaglik,Sleman,112.0,88.0,3.0,2.0,2.0,2.0,Lainnya,Furnished,2100000000
Ngaglik,Sleman,117.0,75.0,3.0,2.0,1.0,2.0,Lainnya,Unfurnished,750000000
Ngemplak,Sleman,103.0,120.0,4.0,4.0,2.0,2.0,Lainnya,Unfurnished,1300000000
Ngaglik,Sleman,136.0,124.0,4.0,4.0,2.0,2.0,Lainnya,Unfurnished,1850000000
Depok,Sleman,104.0,115.0,4.0,3.0,2.0,2.0,Lainnya,Furnished,1850000000
Depok,Sleman,295.0,200.0,4.0,3.0,2.0,2.0,Lainnya,Unfurnished,2000000000
Ngaglik,Sleman,107.0,71.0,3.0,1.0,1.0,1.0,Lainnya,Unfurnished,785000000
Ngaglik,Sleman,125.0,150.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1800000000
Sleman,Sleman,107.0,80.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,697000000
Sleman,Sleman,104.0,65.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,550000000
Mlati,Sleman,176.0,110.0,2.0,2.0,1.0,1.0,Lainnya,Unfurnished,1450000000
Mlati,Sleman,111.0,70.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,750000000
Ngaglik,Sleman,125.0,165.0,3.0,3.0,2.0,1.0,Lainnya,Furnished,2250000000
Ngemplak,Sleman,108.0,60.0,3.0,1.0,1.0,1.0,Lainnya,Unfurnished,930000000
Ngaglik,Sleman,200.0,425.0,13.0,14.0,2.0,4.0,Lainnya,Furnished,3850000000
Banguntapan,Bantul,255.0,280.0,6.0,2.0,2.0,2.0,1300 Watt,Unfurnished,2000000000
Kalasan,Sleman,114.0,57.0,2.0,1.0,1.0,1.0,1300 Watt,Furnished,690000000
Banguntapan,Bantul,86.0,86.0,2.0,1.0,,1.0,1300 Watt,Unfurnished,480000000
Gamping,Sleman,495.0,163.0,5.0,3.0,,2.0,3300 Watt,Unfurnished,3500000000
Ngemplak,Sleman,130.0,260.0,4.0,3.0,2.0,1.0,Lainnya,Unfurnished,1700000000
Kasihan,Bantul,128.0,250.0,4.0,3.0,2.0,2.0,1300 Watt,Unfurnished,1200000000
Depok,Sleman,199.0,245.0,5.0,3.0,2.0,1.0,Lainnya,Unfurnished,1800000000
Gamping,Sleman,150.0,336.0,7.0,3.0,3.0,,Lainnya,Furnished,2500000000
Berbah,Sleman,103.0,64.0,2.0,2.0,,1.0,Lainnya,Unfurnished,580000000
Ngemplak,Sleman,116.0,60.0,3.0,2.0,1.0,,1300 Watt,,450000000
Banguntapan,Bantul,120.0,150.0,3.0,3.0,2.0,1.0,Lainnya,Furnished,2300000000
Banguntapan,Bantul,80.0,90.0,3.0,2.0,2.0,1.0,Lainnya,Unfurnished,799000000
Sewon,Bantul,845.0,600.0,10.0,5.0,2.0,1.0,Lainnya,Unfurnished,5500000000
Ngemplak,Sleman,87.0,160.0,5.0,2.0,2.0,1.0,Lainnya,Unfurnished,975000000
Kalasan,Sleman,168.0,250.0,5.0,3.0,2.0,1.0,Lainnya,Unfurnished,1390000000
Ngaglik,Sleman,123.0,145.0,4.0,4.0,2.0,1.0,Lainnya,Furnished,1850000000
Sleman,Sleman,100.0,60.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,585000000
Sleman,Sleman,100.0,65.0,3.0,1.0,1.0,1.0,Lainnya,Unfurnished,749000000
Kalasan,Sleman,144.0,107.0,3.0,2.0,2.0,1.0,Lainnya,Unfurnished,1750000000
Sidoarum,Sleman,100.0,150.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1700000000
Kalasan,Sleman,200.0,120.0,3.0,2.0,1.0,1.0,Lainnya,Furnished,1850000000
Kalasan,Sleman,180.0,180.0,4.0,3.0,2.0,1.0,Lainnya,Unfurnished,2300000000
Prambanan,Sleman,107.0,64.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,625000000
Umbulharjo,Yogyakarta,153.0,107.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,1100000000
Ngemplak,Sleman,115.0,70.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,775000000
Ngaglik,Sleman,185.0,205.0,4.0,5.0,2.0,1.0,Lainnya,Furnished,2250000000
Banguntapan,Bantul,62.0,40.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,525000000
Mlati,Sleman,124.0,135.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1490000000
Ngemplak,Sleman,155.0,170.0,4.0,3.0,2.0,1.0,Lainnya,Unfurnished,2400000000
Ngemplak,Sleman,105.0,100.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,975000000
Ngaglik,Sleman,90.0,85.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,798000000
Ngaglik,Sleman,96.0,55.0,3.0,1.0,1.0,1.0,Lainnya,Unfurnished,579000000
Depok,Sleman,165.0,110.0,4.0,3.0,2.0,1.0,Lainnya,Furnished,1780000000
Ngaglik,Sleman,105.0,110.0,3.0,3.0,2.0,1.0,Lainnya,Furnished,1500000000
Kalasan,Sleman,88.0,36.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,399000000
Godean,Sleman,512.0,250.0,5.0,6.0,2.0,1.0,Lainnya,Unfurnished,4100000000
Ngemplak,Sleman,123.0,90.0,3.0,2.0,1.0,1.0,Lainnya,Furnished,1290000000
Berbah,Sleman,90.0,60.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,725000000
Mlati,Sleman,99.0,70.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,685000000
Tempel,Sleman,126.0,160.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,575000000
Ngaglik,Sleman,145.0,111.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,1370000000
Ngaglik,Sleman,110.0,63.0,3.0,1.0,1.0,1.0,Lainnya,Unfurnished,850000000
Ngaglik,Sleman,130.0,142.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1900000000
Ngemplak,Sleman,120.0,75.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,785000000
Ngaglik,Sleman,143.0,77.0,3.0,2.0,1.0,1.0,Lainnya,Furnished,1200000000
Banguntapan,Bantul,85.0,60.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,525000000
Banguntapan,Bantul,65.0,45.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,425000000
Seyegan,Sleman,100.0,60.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,575000000
Jetis,Bantul,75.0,55.0,3.0,1.0,2.0,1.0,Lainnya,Unfurnished,465000000
Jetis,Bantul,91.0,52.0,2.0,2.0,1.0,1.0,Lainnya,Unfurnished,399000000
Depok,Sleman,104.0,115.0,4.0,3.0,2.0,1.0,Lainnya,Furnished,1860000000
Seyegan,Sleman,122.0,70.0,3.0,1.0,1.0,1.0,Lainnya,Unfurnished,550000000
Mlati,Sleman,124.0,60.0,2.0,2.0,1.0,1.0,Lainnya,Unfurnished,740000000
Ngemplak,Sleman,109.0,72.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,985000000
Prambanan,Sleman,116.0,110.0,3.0,2.0,2.0,1.0,Lainnya,Unfurnished,1140000000
Ngaglik,Sleman,96.0,125.0,3.0,3.0,2.0,1.0,Lainnya,Furnished,1750000000
Depok,Sleman,98.0,125.0,3.0,3.0,2.0,1.0,Lainnya,Furnished,1750000000
Sleman,Sleman,158.0,115.0,4.0,4.0,2.0,2.0,Lainnya,Furnished,2200000000
Ngemplak,Sleman,123.0,90.0,3.0,2.0,1.0,1.0,Lainnya,Furnished,1290000000
Turi,Sleman,129.0,100.0,3.0,2.0,2.0,2.0,Lainnya,Furnished,950000000
Banguntapan,Bantul,117.0,75.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,650000000
Kasihan,Bantul,77.0,50.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,575000000
Banguntapan,Bantul,100.0,60.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,700000000
Turi,Sleman,129.0,100.0,3.0,2.0,1.0,2.0,Lainnya,Furnished,950000000
Kasihan,Bantul,102.0,138.0,3.0,2.0,2.0,2.0,Lainnya,Unfurnished,975000000
Kasihan,Bantul,81.0,50.0,2.0,1.0,1.0,1.0,Lainnya,Furnished,480000000
Gamping,Sleman,484.0,542.0,,7.0,5.0,2.0,Lainnya,Furnished,8000000000
Banguntapan,Bantul,117.0,75.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,675000000
Ngemplak,Sleman,117.0,150.0,3.0,2.0,2.0,2.0,Lainnya,Furnished,1790000000
Gamping,Sleman,107.0,90.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,950000000
Maguwoharjo,Yogyakarta,128.0,180.0,4.0,4.0,2.0,2.0,Lainnya,Unfurnished,2500000000
Mantrijeron,Yogyakarta,364.0,188.0,6.0,5.0,1.0,2.0,Lainnya,Furnished,3990000000
Mergangsan,Yogyakarta,2600.0,400.0,4.0,5.0,,4.0,3500 Watt,Semi Furnished,35000000000
Ngemplak,Sleman,132.0,117.0,3.0,3.0,2.0,,Lainnya,Furnished,1600000000
Godean,Sleman,98.0,45.0,2.0,1.0,1.0,,Lainnya,Unfurnished,585000000
Sleman,Sleman,100.0,60.0,2.0,2.0,1.0,,Lainnya,Unfurnished,580000000
Purwomartani,Sleman,180.0,180.0,4.0,3.0,1.0,,Lainnya,Unfurnished,2300000000
Banguntapan,Bantul,80.0,90.0,3.0,3.0,2.0,,Lainnya,Unfurnished,989000000
Maguwoharjo,Yogyakarta,125.0,110.0,3.0,3.0,2.0,,Lainnya,Semi Furnished,1750000000
Banguntapan,Bantul,108.0,100.0,4.0,3.0,2.0,,Lainnya,Unfurnished,999000000
Purwomartani,Sleman,115.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,790000000
Depok,Sleman,103.0,54.0,3.0,1.0,1.0,,Lainnya,Unfurnished,950000000
Kalasan,Sleman,70.0,45.0,2.0,1.0,1.0,,Lainnya,Unfurnished,490000000
Sleman,Sleman,151.0,185.0,3.0,3.0,3.0,,Lainnya,Furnished,2800000000
Banguntapan,Bantul,92.0,150.0,3.0,4.0,2.0,,Lainnya,Furnished,1790000000
Depok,Sleman,120.0,160.0,4.0,4.0,2.0,,Lainnya,Furnished,1750000000
Kalasan,Sleman,132.0,192.0,5.0,3.0,2.0,,Lainnya,Semi Furnished,1750000000
Kalasan,Sleman,102.0,80.0,3.0,2.0,1.0,,Lainnya,Unfurnished,680000000
Kasihan,Bantul,78.0,47.0,2.0,1.0,1.0,,Lainnya,Unfurnished,580000000
Ngaglik,Sleman,90.0,90.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,906700000
Condong Catur,Sleman,103.0,120.0,3.0,3.0,2.0,,1300 Watt,Unfurnished,1650000000
Sleman,Sleman,126.0,100.0,3.0,3.0,2.0,,2200 Watt,Furnished,1410000000
Depok,Sleman,85.0,65.0,3.0,2.0,1.0,,Lainnya,Unfurnished,1200000000
Condong Catur,Sleman,100.0,90.0,3.0,2.0,1.0,,Lainnya,,680000000
Ngemplak,Sleman,120.0,130.0,4.0,3.0,2.0,,Lainnya,,1890000000
Umbulharjo,Yogyakarta,161.0,171.0,,,1.0,,Lainnya,Unfurnished,1100000000
Godean,Sleman,104.0,70.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,620000000
Sedayu,Bantul,110.0,93.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,920000000
Godean,Sleman,120.0,50.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,624000000
Godean,Sleman,60.0,30.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,166000000
Kraton,Yogyakarta,350.0,250.0,5.0,6.0,2.0,,3500 Watt,Furnished,4200000000
Ngaglik,Sleman,120.0,65.0,3.0,2.0,1.0,,Lainnya,Unfurnished,750000000
Ngaglik,Sleman,120.0,65.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,750000000
Depok,Sleman,104.0,125.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1790000000
Depok,Sleman,140.0,200.0,4.0,4.0,2.0,,Lainnya,Unfurnished,2750000000
Gamping,Sleman,109.0,108.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1550000000
Sleman,Sleman,108.0,90.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1100000000
Godean,Sleman,100.0,60.0,2.0,1.0,1.0,,Lainnya,Unfurnished,575000000
Godean,Sleman,110.0,45.0,2.0,1.0,1.0,1.0,Lainnya,Furnished,370000000
Kalasan,Sleman,121.0,45.0,2.0,1.0,1.0,1.0,Lainnya,Furnished,260000000
Ngemplak,Sleman,115.0,78.0,3.0,2.0,1.0,,Lainnya,Unfurnished,985000000
Pengasih,Kulon Progo,114.0,50.0,2.0,1.0,1.0,,Lainnya,Unfurnished,398000000
Condong Catur,Sleman,107.0,70.0,3.0,2.0,1.0,,Lainnya,Furnished,780000000
Condong Catur,Sleman,171.0,110.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1700000000
Sleman,Sleman,144.0,90.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1000000000
Ngaglik,Sleman,139.0,110.0,4.0,2.0,2.0,1.0,Lainnya,Unfurnished,1300000000
Gondokusuman,Yogyakarta,496.0,190.0,3.0,2.0,1.0,,Lainnya,,4500000000
Maguwoharjo,Yogyakarta,154.0,213.0,5.0,5.0,2.0,,2200 Watt,Furnished,2700000000
Ngaglik,Sleman,130.0,154.0,3.0,4.0,2.0,,2200 Watt,Furnished,2200000000
Sleman,Sleman,159.0,175.0,5.0,6.0,2.0,,2200 Watt,Furnished,2600000000
Ngaglik,Sleman,159.0,175.0,4.0,5.0,2.0,,2200 Watt,Semi Furnished,2600000000
Sleman,Sleman,159.0,175.0,4.0,5.0,2.0,,2200 Watt,Semi Furnished,2600000000
Ngaglik,Sleman,102.0,100.0,4.0,5.0,2.0,,2200 Watt,Semi Furnished,2600000000
Sleman,Yogyakarta,159.0,175.0,4.0,5.0,2.0,,2200 Watt,Semi Furnished,2600000000
Ngaglik,Sleman,149.0,175.0,4.0,5.0,2.0,,2200 Watt,Semi Furnished,2600000000
Sleman,Sleman,149.0,175.0,5.0,6.0,2.0,,2200 Watt,Semi Furnished,2600000000
Ngaglik,Sleman,342.0,150.0,5.0,3.0,1.0,1.0,1300 Watt,Furnished,2000000000
Ngaglik,Sleman,100.0,200.0,3.0,3.0,2.0,1.0,2200 Watt,Furnished,1250000000
Depok,Sleman,559.0,400.0,7.0,4.0,2.0,1.0,Lainnya,Unfurnished,5500000000
Purwomartani,Sleman,175.0,120.0,3.0,2.0,1.0,,Lainnya,Unfurnished,700000000
Depok,Sleman,110.0,120.0,4.0,3.0,2.0,1.0,2200 Watt,Unfurnished,1650000000
Condong Catur,Sleman,85.0,65.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,1200000000
Sleman,Yogyakarta,110.0,120.0,3.0,2.0,2.0,,Lainnya,Semi Furnished,1600000000
Banguntapan,Bantul,78.0,50.0,2.0,1.0,1.0,,Lainnya,,750000000
Banguntapan,Bantul,78.0,50.0,2.0,1.0,1.0,,Lainnya,,750000000
Ngaglik,Sleman,137.0,111.0,3.0,2.0,2.0,1.0,Lainnya,Furnished,1800000000
Sleman,Yogyakarta,129.0,139.0,4.0,3.0,1.0,2.0,5500 Watt,Furnished,2250000000
Sleman,Sleman,101.0,50.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,600000000
Sleman,Sleman,100.0,55.0,2.0,1.0,1.0,,900 Watt,Unfurnished,449000000
Gamping,Sleman,107.0,75.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,849000000
Sleman,Sleman,139.0,155.0,3.0,3.0,2.0,3.0,Lainnya,Unfurnished,1500000000
Depok,Sleman,184.0,240.0,5.0,4.0,2.0,2.0,Lainnya,Furnished,3100000000
Pakem,Sleman,119.0,50.0,3.0,1.0,2.0,1.0,3300 Watt,Furnished,187000000
Kaliurang,Sleman,119.0,45.0,2.0,2.0,1.0,1.0,3300 Watt,Furnished,190000000
Ngaglik,Sleman,119.0,85.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,1200000000
Ngaglik,Sleman,149.0,120.0,3.0,2.0,1.0,2.0,Lainnya,Unfurnished,1390000000
Ngaglik,Sleman,204.0,250.0,6.0,3.0,2.0,1.0,Lainnya,Furnished,3500000000
Depok,Sleman,103.0,54.0,3.0,1.0,1.0,1.0,Lainnya,Unfurnished,950000000
Depok,Sleman,105.0,100.0,3.0,3.0,2.0,2.0,Lainnya,Unfurnished,950000000000
Ngaglik,Sleman,146.0,100.0,3.0,2.0,1.0,1.0,1300 Watt,Unfurnished,1280000000
Ngaglik,Sleman,80.0,36.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,535000000
Ngaglik,Sleman,200.0,180.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,4400000000
Sleman,Sleman,99.0,85.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,785000000
Mlati,Sleman,123.0,70.0,3.0,1.0,1.0,2.0,Lainnya,Unfurnished,1500000000
Depok,Sleman,152.0,128.0,3.0,3.0,2.0,2.0,Lainnya,Furnished,2300000000
Gondokusuman,Yogyakarta,400.0,500.0,9.0,6.0,2.0,4.0,Lainnya,Semi Furnished,7500000000
Ngaglik,Sleman,285.0,179.0,5.0,2.0,1.0,2.0,Lainnya,Unfurnished,1650000000
Sleman,Sleman,107.0,80.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,697000000
Ngemplak,Sleman,120.0,90.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,825000000
Ngaglik,Sleman,116.0,180.0,4.0,2.0,2.0,2.0,Lainnya,Furnished,2400000000
Ngaglik,Sleman,129.0,90.0,3.0,2.0,1.0,2.0,Lainnya,Semi Furnished,1200000000
Sleman,Sleman,94.0,63.0,3.0,1.0,1.0,1.0,Lainnya,Unfurnished,630000000
Pakem,Sleman,113.0,60.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,599000000
Mlati,Sleman,123.0,70.0,3.0,2.0,1.0,2.0,Lainnya,Unfurnished,820000000
Prambanan,Sleman,90.0,36.0,2.0,1.0,2.0,,Lainnya,,535000000
Ngemplak,Sleman,127.0,71.0,3.0,2.0,1.0,2.0,Lainnya,Unfurnished,945000000
Kalasan,Sleman,98.0,70.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,750000000
Prambanan,Sleman,170.0,60.0,3.0,2.0,1.0,,Lainnya,Unfurnished,465000000
Kalasan,Sleman,86.0,60.0,2.0,1.0,1.0,,Lainnya,Unfurnished,580000000
Prambanan,Sleman,75.0,33.0,1.0,1.0,1.0,,Lainnya,,265000000
Condong Catur,Sleman,120.0,160.0,4.0,3.0,2.0,2.0,Lainnya,Furnished,1850000000
Ngemplak,Sleman,115.0,65.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,650000000
Sekip,Yogyakarta,677.0,288.0,8.0,5.0,2.0,,Lainnya,Semi Furnished,8500000000
Tegalrejo,Yogyakarta,143.0,100.0,3.0,2.0,1.0,,Lainnya,Furnished,1900000000
Kota Baru,Yogyakarta,894.0,550.0,5.0,3.0,1.0,,3300 Watt,Unfurnished,26500000000
Ngemplak,Sleman,115.0,65.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,650000000
Umbulharjo,Yogyakarta,420.0,200.0,4.0,3.0,1.0,4.0,Lainnya,Unfurnished,4200000000
Umbulharjo,Yogyakarta,548.0,95.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,2500000000
Mergangsan,Yogyakarta,1320.0,350.0,6.0,3.0,1.0,,Lainnya,Unfurnished,25000000000
Umbulharjo,Yogyakarta,148.0,125.0,2.0,2.0,2.0,,Lainnya,Unfurnished,1800000000
Gondokusuman,Yogyakarta,381.0,180.0,4.0,2.0,1.0,,2200 Watt,Unfurnished,3100000000
Umbulharjo,Yogyakarta,217.0,200.0,5.0,2.0,1.0,1.0,Lainnya,,1200000000
Umbulharjo,Yogyakarta,475.0,153.0,3.0,2.0,1.0,1.0,2200 Watt,Unfurnished,4900000000
Sewon,Bantul,408.0,200.0,4.0,2.0,,1.0,1300 Watt,Semi Furnished,2200000000
Maguwoharjo,Yogyakarta,521.0,550.0,4.0,3.0,2.0,2.0,3500 Watt,Semi Furnished,4200000000
Gondokusuman,Yogyakarta,333.0,150.0,,3.0,1.0,1.0,Lainnya,Unfurnished,2300000000
Sleman,Sleman,711.0,255.0,4.0,2.0,1.0,,2200 Watt,Unfurnished,2750000000
Sleman,Sleman,186.0,150.0,3.0,4.0,2.0,1.0,900 Watt,Unfurnished,1300000000
Kotagede,Yogyakarta,155.0,100.0,3.0,2.0,1.0,,900 Watt,Unfurnished,980000000
Gondokusuman,Yogyakarta,744.0,1000.0,6.0,6.0,1.0,2.0,11000 Watt,Unfurnished,4900000000
Ngaglik,Sleman,104.0,140.0,4.0,3.0,1.0,,2200 Watt,Unfurnished,1400000000
Ngaglik,Sleman,152.0,150.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,2900000000
Ngaglik,Sleman,152.0,150.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,2900000000
Ngaglik,Sleman,144.0,280.0,1.0,7.0,2.0,1.0,1300 Watt,Unfurnished,1200000000
Depok,Sleman,375.0,100.0,3.0,1.0,1.0,,1300 Watt,,950000000
Mlati,Sleman,443.0,550.0,11.0,8.0,2.0,,3500 Watt,Semi Furnished,7100000000
Depok,Sleman,443.0,550.0,11.0,8.0,1.0,,3500 Watt,,7100000000
Godean,Sleman,280.0,300.0,4.0,4.0,1.0,2.0,1300 Watt,Unfurnished,4500000000
Godean,Sleman,559.0,380.0,6.0,3.0,1.0,,5500 Watt,Unfurnished,3900000000
Kasihan,Bantul,529.0,450.0,10.0,4.0,2.0,,2200 Watt,Unfurnished,6980000000
Condong Catur,Sleman,169.0,100.0,4.0,2.0,1.0,,Lainnya,Unfurnished,1900000000
Mlati,Sleman,125.0,68.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,650000000
Depok,Sleman,160.0,225.0,4.0,3.0,1.0,,7700 Watt,Semi Furnished,3000000000
Depok,Sleman,1485.0,1500.0,8.0,6.0,1.0,1.0,4400 Watt,Unfurnished,21000000000
Sewon,Bantul,127.0,60.0,2.0,1.0,1.0,,2200 Watt,,1300000000
Sleman,Sleman,443.0,550.0,11.0,8.0,2.0,,3500 Watt,Semi Furnished,7100000000
Sleman,Sleman,375.0,100.0,3.0,1.0,1.0,,Lainnya,Unfurnished,950000000
Piyungan,Bantul,90.0,45.0,2.0,1.0,1.0,,1300 Watt,Semi Furnished,450000000
Gondokusuman,Yogyakarta,131.0,150.0,4.0,2.0,1.0,,Lainnya,Unfurnished,1200000000
Mantrijeron,Yogyakarta,100.0,55.0,3.0,1.0,1.0,,Lainnya,,850000000
Ngemplak,Sleman,150.0,108.0,3.0,2.0,2.0,,Lainnya,Furnished,1850000000
Mergangsan,Yogyakarta,843.0,600.0,6.0,3.0,1.0,,Lainnya,,14750000000
Umbulharjo,Yogyakarta,837.0,500.0,8.0,4.0,1.0,,Lainnya,,7000000000
Moyudan,Sleman,162.0,65.0,3.0,1.0,1.0,,Lainnya,,600000000
Kalasan,Sleman,146.0,107.0,4.0,3.0,2.0,,Lainnya,,1490000000
Sedayu,Bantul,86.0,56.0,3.0,3.0,1.0,,1300 Watt,Unfurnished,485000000
Banguntapan,Bantul,62.0,40.0,2.0,1.0,1.0,,1300 Watt,Semi Furnished,600000000
Sedayu,Bantul,100.0,40.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,380000000
Berbah,Sleman,1255.0,400.0,5.0,2.0,1.0,1.0,1300 Watt,Unfurnished,6800000000
Sleman,Sleman,123.0,110.0,3.0,3.0,2.0,1.0,Lainnya,Furnished,1300000000
Kaliurang,Sleman,123.0,110.0,3.0,3.0,2.0,1.0,Lainnya,Furnished,1300000000
Kasihan,Bantul,107.0,50.0,2.0,1.0,1.0,1.0,Lainnya,Semi Furnished,386000000
Sleman,Yogyakarta,145.0,90.0,3.0,2.0,2.0,1.0,Lainnya,Furnished,1960000000
Kaliurang,Yogyakarta,153.0,90.0,3.0,2.0,2.0,2.0,Lainnya,Semi Furnished,1700000000
Sleman,Sleman,153.0,90.0,3.0,2.0,2.0,2.0,Lainnya,Semi Furnished,1700000000
Pogung,Yogyakarta,384.0,600.0,24.0,24.0,3.0,,Lainnya,Furnished,7900000000
Mlati,Sleman,144.0,200.0,10.0,10.0,2.0,2.0,1300 Watt,Furnished,2650000000
Depok,Sleman,212.0,540.0,15.0,15.0,3.0,2.0,Lainnya,Furnished,2800000000
Condong Catur,Sleman,100.0,150.0,4.0,2.0,2.0,1.0,,Unfurnished,1200000000
Condong Catur,Sleman,727.0,787.0,29.0,29.0,2.0,,22000 Watt,Unfurnished,10000000000
Condong Catur,Sleman,150.0,270.0,,,1.0,,Lainnya,,3200000000
Condong Catur,Sleman,137.0,250.0,13.0,13.0,2.0,2.0,1300 Watt,Furnished,3000000000
Condong Catur,Sleman,180.0,250.0,19.0,6.0,2.0,,1300 Watt,Furnished,1950000000
Ngaglik,Sleman,680.0,2200.0,50.0,50.0,3.0,,66000 Watt,Furnished,21500000000
Umbulharjo,Yogyakarta,1080.0,1400.0,40.0,44.0,3.0,,47500 Watt,Furnished,22000000000
Banguntapan,Bantul,128.0,120.0,3.0,3.0,2.0,,Lainnya,Furnished,1900000000
Condong Catur,Sleman,140.0,120.0,4.0,3.0,2.0,1.0,2200 Watt,Semi Furnished,1500000000
Mlati,Sleman,160.0,165.0,10.0,10.0,2.0,3.0,Lainnya,Furnished,2900000000
Mlati,Sleman,952.0,329.0,3.0,3.0,1.0,2.0,Lainnya,,5400000000
Gedong Tengen,Yogyakarta,381.0,202.0,6.0,2.0,1.0,1.0,2200 Watt,,3000000000
Umbulharjo,Yogyakarta,161.0,171.0,,,1.0,,Lainnya,Unfurnished,1100000000
Depok,Sleman,111.0,178.0,4.0,2.0,2.0,,4400 Watt,Unfurnished,1850000000
Kalasan,Sleman,207.0,160.0,4.0,2.0,1.0,1.0,Lainnya,Semi Furnished,1280000000
Mlati,Sleman,191.0,120.0,3.0,3.0,2.0,,Lainnya,Unfurnished,2100000000
Maguwoharjo,Yogyakarta,128.0,80.0,3.0,2.0,1.0,,Lainnya,Unfurnished,890000000
Umbulharjo,Yogyakarta,164.0,142.0,3.0,2.0,2.0,,Lainnya,Unfurnished,750000000
Kasihan,Bantul,83.0,60.0,3.0,1.0,1.0,,Lainnya,Unfurnished,495000000
Mlati,Sleman,98.0,65.0,3.0,2.0,1.0,,Lainnya,Unfurnished,785000000
Sleman,Sleman,120.0,104.0,2.0,1.0,1.0,2.0,Lainnya,Unfurnished,690000000
Sleman,Sleman,125.0,85.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,780000000
