district,city,landSize,buildingSize,bedrooms,bathrooms,floors,garages,electricity,furnishing,priceNumeric
Caturtunggal,Sleman,123.0,130.0,4.0,4.0,2.0,,3500 Watt,Unfurnished,2280000000
Bantul,Bantul,128.0,250.0,4.0,3.0,2.0,,Lainnya,,1300000000
Sleman,Sleman,100.0,60.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,585000000
Ngemplak,Sleman,105.0,100.0,3.0,3.0,2.0,,1300 Watt,Unfurnished,950000000
Sedayu,Bantul,74.0,36.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,299000000
Ngaglik,Sleman,101.0,70.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,925000000
Kalasan,Sleman,90.0,56.0,2.0,2.0,1.0,,2200 Watt,Unfurnished,675000000
Ngemplak,Sleman,160.0,90.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,985000000
Ngaglik,Sleman,96.0,55.0,3.0,1.0,1.0,,1300 Watt,Unfurnished,579000000
Kasihan,Bantul,106.0,60.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,595000000
Kasihan,Bantul,83.0,60.0,3.0,1.0,1.0,,1300 Watt,Unfurnished,495000000
Godean,Sleman,98.0,45.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,650000000
Ngemplak,Sleman,155.0,170.0,4.0,3.0,2.0,,2200 Watt,Unfurnished,2400000000
Sleman,Sleman,197.0,196.0,4.0,4.0,2.0,,5500 Watt,Semi Furnished,3900000000
Gamping,Sleman,168.0,214.0,4.0,4.0,2.0,,5500 Watt,Unfurnished,2300000000
Mlati,Sleman,160.0,147.0,4.0,2.0,2.0,,4400 Watt,Furnished,2600000000
Sleman,Sleman,152.0,150.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,2900000000
Depok,Sleman,166.0,176.0,4.0,3.0,1.0,1.0,2200 Watt,Unfurnished,1480000000
Sleman,Yogyakarta,263.0,171.0,5.0,4.0,2.0,,2200 Watt,Furnished,3500000000
Mlati,Sleman,199.0,140.0,4.0,4.0,2.0,,5500 Watt,Furnished,2300000000
Ngemplak,Sleman,449.0,140.0,4.0,2.0,1.0,,2200 Watt,Unfurnished,2000000000
Gamping,Sleman,108.0,38.0,2.0,1.0,1.0,,2200 Watt,Unfurnished,510000000
Godean,Sleman,108.0,38.0,2.0,1.0,1.0,,2200 Watt,Unfurnished,510000000
Ngaglik,Sleman,101.0,70.0,3.0,2.0,1.0,,1300 Watt,Semi Furnished,925000000
Purwomartani,Sleman,115.0,70.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,790000000
Sewon,Bantul,120.0,80.0,2.0,1.0,1.0,1.0,Lainnya,Furnished,1300000000
Purwomartani,Sleman,194.0,140.0,3.0,2.0,1.0,,1300 Watt,Furnished,1600000000
Ngemplak,Sleman,155.0,170.0,4.0,3.0,2.0,,2200 Watt,Unfurnished,2400000000
Sleman,Sleman,126.0,110.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1480000000
Sleman,Yogyakarta,126.0,110.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1470000000
Ngemplak,Sleman,107.0,90.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1150000000
Ngaglik,Sleman,107.0,90.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1200000000
Sleman,Sleman,126.0,110.0,3.0,3.0,2.0,1.0,Lainnya,,1540000000
Ngaglik,Sleman,126.0,110.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1280000000
Mlati,Sleman,101.0,90.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1150000000
Mlati,Sleman,126.0,110.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1270000000
Sleman,Sleman,101.0,90.0,3.0,3.0,2.0,1.0,2200 Watt,,823000000
Sleman,Sleman,101.0,90.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1200000000
Sleman,Yogyakarta,126.0,110.0,3.0,3.0,2.0,1.0,2200 Watt,Unfurnished,1290000000
Sleman,Yogyakarta,92.0,90.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,905000000
Ngaglik,Sleman,92.0,90.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,905000000
Sleman,Sleman,100.0,90.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,991000000
Mlati,Sleman,92.0,90.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,902000000
Kaliurang,Yogyakarta,92.0,90.0,3.0,2.0,2.0,1.0,Lainnya,Unfurnished,906000000
Ngaglik,Sleman,126.0,100.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,1400000000
Sleman,Yogyakarta,126.0,100.0,3.0,3.0,1.0,1.0,Lainnya,Unfurnished,1410000000
Ngaglik,Sleman,102.0,90.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,906000000
Moyudan,Sleman,86.0,50.0,2.0,1.0,1.0,,Lainnya,Unfurnished,331000000
Sleman,Sleman,88.0,50.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,402000000
Pengasih,Kulon Progo,128.0,70.0,3.0,2.0,2.0,,Lainnya,Semi Furnished,628500000
Gamping,Sleman,105.0,50.0,2.0,1.0,1.0,,Lainnya,Semi Furnished,399000000
Maguwoharjo,Yogyakarta,200.0,107.0,4.0,3.0,2.0,,Lainnya,Semi Furnished,1500000000
Sleman,Sleman,86.0,50.0,2.0,1.0,1.0,,Lainnya,Unfurnished,331000000
Maguwoharjo,Yogyakarta,174.0,133.0,4.0,4.0,2.0,,Lainnya,,1500000000
Sleman,Yogyakarta,99.0,55.0,3.0,2.0,1.0,,1300 Watt,Semi Furnished,785000000
Sleman,Yogyakarta,1234.0,410.0,6.0,5.0,2.0,2.0,10000 Watt,Furnished,8900000000
Ngaglik,Sleman,1234.0,410.0,6.0,5.0,2.0,2.0,10000 Watt,Furnished,8900000000
Umbulharjo,Yogyakarta,160.0,150.0,4.0,1.0,1.0,,Lainnya,Semi Furnished,1300000000
Ngaglik,Sleman,180.0,260.0,5.0,3.0,1.0,,Lainnya,Unfurnished,2200000000
Kraton,Yogyakarta,315.0,200.0,4.0,3.0,1.0,,1300 Watt,Unfurnished,1700000000
Kasihan,Bantul,239.0,184.0,,,1.0,,2200 Watt,Unfurnished,1600000000
Kaliurang,Sleman,2005.0,300.0,4.0,7.0,2.0,,6600 Watt,Furnished,3600000000
Pengasih,Kulon Progo,114.0,50.0,2.0,,1.0,,Lainnya,Unfurnished,398000000
Kalasan,Sleman,92.0,45.0,2.0,1.0,1.0,,1300 Watt,Semi Furnished,570000000
Temon,Kulon Progo,127.0,50.0,2.0,1.0,1.0,,Lainnya,Unfurnished,362000000
Wates,Kulon Progo,127.0,50.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,362000000
Umbulharjo,Yogyakarta,107.0,90.0,3.0,2.0,2.0,,1300 Watt,Semi Furnished,1240000000
Mlati,Sleman,123.0,110.0,3.0,2.0,2.0,,1300 Watt,Semi Furnished,1270000000
Ngaglik,Sleman,92.0,90.0,3.0,3.0,2.0,,1300 Watt,Semi Furnished,900000000
Ngaglik,Sleman,103.0,120.0,3.0,3.0,2.0,,1300 Watt,Semi Furnished,1650000000
Tegalrejo,Yogyakarta,103.0,90.0,3.0,2.0,2.0,,2200 Watt,Semi Furnished,1300000000
Maguwoharjo,Yogyakarta,128.0,168.0,4.0,4.0,3.0,,4400 Watt,Unfurnished,3300000000
Mergangsan,Yogyakarta,673.0,260.0,12.0,4.0,1.0,,5500 Watt,Unfurnished,5100000000
Gamping,Sleman,676.0,550.0,7.0,5.0,2.0,,1300 Watt,Unfurnished,8000000000
Ngaglik,Sleman,169.0,110.0,3.0,1.0,1.0,1.0,3500 Watt,Unfurnished,2000000000
Sleman,Sleman,331.0,400.0,4.0,6.0,1.0,,4400 Watt,Unfurnished,5500000000
Sleman,Yogyakarta,124.0,127.0,4.0,2.0,2.0,,2200 Watt,,2450000000
Godean,Sleman,338.0,400.0,5.0,3.0,2.0,,Lainnya,Unfurnished,4500000000
Ngaglik,Sleman,200.0,300.0,4.0,4.0,2.0,1.0,3500 Watt,,3200000000
Umbulharjo,Yogyakarta,420.0,200.0,4.0,3.0,1.0,,3500 Watt,,4900000000
Kalasan,Sleman,115.0,50.0,2.0,1.0,,,Lainnya,Unfurnished,980000000
Gamping,Sleman,168.0,214.0,4.0,4.0,2.0,,5500 Watt,Unfurnished,2300000000
Sleman,Sleman,85.0,60.0,2.0,1.0,1.0,,2200 Watt,Semi Furnished,625000000
